chr4	40750204	40750224	+	X396	chr4	40749396	40750396	NSUN7	20
chr4	41256120	41256140	+	X486	chr4	41255912	41256912	UCHL1	20
chr4	41256133	41256153	+	X487	chr4	41255912	41256912	UCHL1	20
chr4	41256599	41256619	+	X488	chr4	41256226	41257226	UCHL1-AS1	20
chr4	41256599	41256619	+	X488	chr4	41255912	41256912	UCHL1	20
chr4	41256611	41256631	+	X489	chr4	41256226	41257226	UCHL1-AS1	20
chr4	41256611	41256631	+	X489	chr4	41255912	41256912	UCHL1	20
chr4	41257112	41257132	+	X490	chr4	41256226	41257226	UCHL1-AS1	20
chr4	41257186	41257206	+	X491	chr4	41256226	41257226	UCHL1-AS1	20
chr4	41257222	41257242	+	X492	chr4	41256226	41257226	UCHL1-AS1	4
chr4	41748775	41748795	+	X621	chr4	41748469	41749469	PHOX2B	20
chr4	41748775	41748795	+	X621	chr4	41747792	41748792	RP11-227F19.1	17
chr4	41748827	41748847	+	X622	chr4	41748469	41749469	PHOX2B	20
chr4	41748831	41748851	+	X623	chr4	41748469	41749469	PHOX2B	20
chr4	41748973	41748993	+	X624	chr4	41748469	41749469	PHOX2B	20
chr4	41749019	41749039	+	X625	chr4	41748469	41749469	PHOX2B	20
chr4	41749077	41749097	+	X626	chr4	41748469	41749469	PHOX2B	20
chr4	41749126	41749146	+	X627	chr4	41748469	41749469	PHOX2B	20
chr4	41749173	41749193	+	X628	chr4	41748469	41749469	PHOX2B	20
chr4	41749187	41749207	+	X629	chr4	41748469	41749469	PHOX2B	20
chr4	41749188	41749208	+	X630	chr4	41748469	41749469	PHOX2B	20
chr4	41749273	41749293	+	X631	chr4	41748469	41749469	PHOX2B	20
chr4	41749891	41749911	+	X633	chr4	41749844	41750844	RP11-227F19.2	20
chr4	41749909	41749929	+	X634	chr4	41749844	41750844	RP11-227F19.2	20
chr4	41750031	41750051	+	X635	chr4	41749844	41750844	RP11-227F19.2	20
chr4	41750379	41750399	+	X636	chr4	41749844	41750844	RP11-227F19.2	20
chr4	41750807	41750827	+	X637	chr4	41749844	41750844	RP11-227F19.2	20
chr4	41771984	41772004	+	X671	chr4	41771602	41772602	RNU1-49P	20
chr4	41772119	41772139	+	X672	chr4	41771602	41772602	RNU1-49P	20
chr4	41894108	41894128	+	X814	chr4	41894078	41895078	RP11-457P14.5	20
chr4	41894340	41894360	+	X815	chr4	41894078	41895078	RP11-457P14.5	20
chr4	41894383	41894403	+	X816	chr4	41894078	41895078	RP11-457P14.5	20
chr4	41923844	41923864	+	X1016	chr4	41923679	41924679	RP11-457P14.6	20
chr4	41924019	41924039	+	X823	chr4	41923679	41924679	RP11-457P14.6	20
chr4	41935409	41935429	+	X824	chr4	41934619	41935619	TMEM33	20
chr4	41935480	41935500	+	X825	chr4	41934619	41935619	TMEM33	20
chr4	41935583	41935603	+	X826	chr4	41934619	41935619	TMEM33	20
chr4	41981590	41981610	+	X237	chr4	41981195	41982195	DCAF4L1	20
chr4	41990915	41990935	+	X831	chr4	41989971	41990971	SLC30A9	20
chr4	41990916	41990936	+	X1019	chr4	41989971	41990971	SLC30A9	20
chr4	42152545	42152565	+	X848	chr4	42152377	42153377	BEND4	20
chr4	42152606	42152626	+	X849	chr4	42152377	42153377	BEND4	20
chr4	42152804	42152824	+	X850	chr4	42152377	42153377	BEND4	20
chr4	42153129	42153149	+	X851	chr4	42152377	42153377	BEND4	20
chr4	42153214	42153234	+	X852	chr4	42152377	42153377	BEND4	20
chr4	42397447	42397467	+	X910	chr4	42397338	42398338	SHISA3	20
chr4	42397478	42397498	+	X911	chr4	42397338	42398338	SHISA3	20
chr4	42397515	42397535	+	X912	chr4	42397338	42398338	SHISA3	20
chr4	42397611	42397631	+	X913	chr4	42397338	42398338	SHISA3	20
chr4	42397641	42397661	+	X914	chr4	42397338	42398338	SHISA3	20
chr4	42397679	42397699	+	X915	chr4	42397338	42398338	SHISA3	20
chr4	42706441	42706461	+	X387	chr4	42705606	42706606	RP11-109E24.1	20
