seqnames	start	end	width	strand	gene_name	SHSY5Y_H3K27ac_norm	SHSY5Y_H3K4me1_norm	SHSY5Y_H3K4me3_norm	SHSY5Y_H3K27me3_norm	SHSY5Y_GATA2_norm	SHSY5Y_GATA3_norm	SKNSH_CTCF_norm	SKNSH_H3K27me3_norm	BE2C_PHOX2B_norm	BE2C_HAND2_norm	BE2C_MYCN_norm	BE2C_ISL1_norm	BE2C_TBX2_norm	BE2C_GATA3_norm	Kelly_GATA3_norm	Kelly_ISL1_norm	Kelly_HAND2_norm	Kelly_MYCN_norm	Kelly_PHOX2B_norm	Kelly_TBX2_norm	Kelly_LMO1_norm	Kelly_ASCL1_norm	CLB.GA_PHOX2B_norm	CLB.GA_GATA3_norm	CLB.GA_HAND2_norm	SHSY5Y_ATAC_norm
chr4	38782489	38783490	1002	*	TLR10	2.9940119760479	8.98203592814371	0	3.99201596806387	57.8842315369262	41.9161676646707	229.540918163673	13.9720558882236	15.9680638722555	25.9481037924152	11.9760479041916	17.9640718562874	15.9680638722555	23.9520958083832	21.9560878243513	12.9740518962076	19.9600798403194	11.9760479041916	25.9481037924152	14.9700598802395	20.9580838323353	8.98203592814371	10.9780439121756	8.98203592814371	23.9520958083832	112.774451097804
chr4	38804290	38805291	1002	*	TLR1	13.9720558882236	21.9560878243513	6.98602794411178	8.98203592814371	18.9620758483034	37.9241516966068	127.744510978044	10.9780439121756	15.9680638722555	25.9481037924152	8.98203592814371	10.9780439121756	21.9560878243513	33.9321357285429	18.9620758483034	16.9660678642715	23.9520958083832	15.9680638722555	29.940119760479	13.9720558882236	17.9640718562874	6.98602794411178	25.9481037924152	24.9500998003992	26.9461077844311	82.8343313373254
chr4	38856316	38857317	1002	*	TLR6	2.9940119760479	6.98602794411178	2.9940119760479	4.99001996007984	10.9780439121756	58.8822355289421	144.710578842315	12.9740518962076	11.9760479041916	30.938123752495	4.99001996007984	30.938123752495	28.9421157684631	17.9640718562874	20.9580838323353	10.9780439121756	19.9600798403194	9.98003992015968	32.9341317365269	15.9680638722555	31.936127744511	4.99001996007984	22.9540918163673	15.9680638722555	37.9241516966068	69.8602794411178
chr4	38867176	38868177	1002	*	FAM114A1	217.564870259481	39.9201596806387	337.325349301397	4.99001996007984	38.9221556886228	29.940119760479	24.9500998003992	5.98802395209581	10.9780439121756	39.9201596806387	7.98403193612774	22.9540918163673	26.9461077844311	22.9540918163673	26.9461077844311	22.9540918163673	26.9461077844311	50.8982035928144	7.98403193612774	23.9520958083832	31.936127744511	11.9760479041916	4.99001996007984	4.99001996007984	6.98602794411178	407.185628742515
chr4	39032421	39033422	1002	*	TMEM156	8.98203592814371	18.9620758483034	2.9940119760479	3.99201596806387	19.9600798403194	17.9640718562874	13.9720558882236	9.98003992015968	23.9520958083832	21.9560878243513	12.9740518962076	14.9700598802395	12.9740518962076	17.9640718562874	14.9700598802395	10.9780439121756	13.9720558882236	11.9760479041916	7.98403193612774	11.9760479041916	10.9780439121756	9.98003992015968	23.9520958083832	10.9780439121756	25.9481037924152	71.8562874251497
chr4	39044538	39045539	1002	*	KLHL5	603.792415169661	4.99001996007984	1061.87624750499	2.9940119760479	42.9141716566866	6.98602794411178	64.8702594810379	2.9940119760479	22.9540918163673	54.8902195608783	11.9760479041916	30.938123752495	33.9321357285429	37.9241516966068	28.9421157684631	16.9660678642715	54.8902195608783	90.8183632734531	13.9720558882236	33.9321357285429	46.9061876247505	20.9580838323353	5.98802395209581	6.98602794411178	31.936127744511	542.914171656687
chr4	39133412	39134413	1002	*	AC079921.2	3.99201596806387	9.98003992015968	3.99201596806387	2.9940119760479	17.9640718562874	35.9281437125749	13.9720558882236	8.98203592814371	21.9560878243513	19.9600798403194	6.98602794411178	24.9500998003992	9.98003992015968	22.9540918163673	11.9760479041916	13.9720558882236	13.9720558882236	7.98403193612774	17.9640718562874	13.9720558882236	21.9560878243513	5.98802395209581	27.9441117764471	21.9560878243513	38.9221556886228	42.9141716566866
chr4	39181903	39182904	1002	*	WDR19	139.720558882236	12.9740518962076	485.029940119761	6.98602794411178	98.8023952095809	32.9341317365269	253.493013972056	8.98203592814371	39.9201596806387	88.8223552894212	63.872255489022	72.8542914171657	67.8642714570858	45.9081836327345	36.9261477045908	23.9520958083832	23.9520958083832	110.778443113772	31.936127744511	38.9221556886228	46.9061876247505	20.9580838323353	15.9680638722555	9.98003992015968	39.9201596806387	1411.17764471058
chr4	39365874	39366875	1002	*	RFC1	225.548902195609	31.936127744511	825.349301397206	3.99201596806387	249.500998003992	48.9021956087824	44.9101796407186	6.98602794411178	22.9540918163673	65.8682634730539	25.9481037924152	39.9201596806387	55.8882235528942	54.8902195608783	37.9241516966068	21.9560878243513	29.940119760479	61.87624750499	11.9760479041916	34.9301397205589	36.9261477045908	17.9640718562874	14.9700598802395	13.9720558882236	43.9121756487026	335.329341317365
chr4	39458499	39459500	1002	*	LIAS	289.421157684631	5.98802395209581	1638.72255489022	3.99201596806387	122.754491017964	27.9441117764471	83.8323353293413	11.9760479041916	30.938123752495	92.814371257485	83.8323353293413	43.9121756487026	43.9121756487026	40.9181636726547	39.9201596806387	22.9540918163673	37.9241516966068	98.8023952095809	39.9201596806387	27.9441117764471	73.8522954091816	13.9720558882236	19.9600798403194	11.9760479041916	41.9161676646707	818.363273453094
chr4	39479754	39480755	1002	*	AC021148.1	2.9940119760479	4.99001996007984	0.998003992015968	4.99001996007984	34.9301397205589	22.9540918163673	14.9700598802395	6.98602794411178	11.9760479041916	11.9760479041916	2.9940119760479	7.98403193612774	12.9740518962076	21.9560878243513	3.99201596806387	6.98602794411178	17.9640718562874	2.9940119760479	5.98802395209581	1.99600798403194	7.98403193612774	2.9940119760479	12.9740518962076	13.9720558882236	18.9620758483034	25.9481037924152
chr4	39527810	39528811	1002	*	UGDH	612.774451097805	13.9720558882236	952.095808383234	8.98203592814371	73.8522954091816	16.9660678642715	81.8363273453094	8.98203592814371	28.9421157684631	62.874251497006	25.9481037924152	35.9281437125749	54.8902195608783	32.9341317365269	30.938123752495	21.9560878243513	33.9321357285429	120.758483033932	27.9441117764471	38.9221556886228	59.8802395209581	11.9760479041916	14.9700598802395	2.9940119760479	51.8962075848303	648.702594810379
chr4	39638589	39639590	1002	*	SMIM14	403.193612774451	5.98802395209581	813.373253493014	5.98802395209581	124.750499001996	33.9321357285429	75.8483033932136	7.98403193612774	38.9221556886228	219.560878243513	56.8862275449102	74.8502994011976	74.8502994011976	55.8882235528942	35.9281437125749	25.9481037924152	103.792415169661	143.712574850299	22.9540918163673	73.8522954091816	77.8443113772455	64.8702594810379	20.9580838323353	16.9660678642715	123.75249500998	1158.68263473054
chr4	39638639	39639640	1002	*	AC108471.2	376.24750499002	5.98802395209581	774.451097804391	5.98802395209581	122.754491017964	35.9281437125749	78.8423153692615	5.98802395209581	37.9241516966068	220.558882235529	56.8862275449102	73.8522954091816	74.8502994011976	53.8922155688623	40.9181636726547	25.9481037924152	100.798403193613	140.718562874251	22.9540918163673	70.8582834331337	78.8423153692615	64.8702594810379	20.9580838323353	17.9640718562874	122.754491017964	1141.71656686627
chr4	39697543	39698544	1002	*	UBE2K	589.820359281437	25.9481037924152	1008.98203592814	5.98802395209581	82.8343313373254	13.9720558882236	73.8522954091816	13.9720558882236	32.9341317365269	99.8003992015968	59.8802395209581	40.9181636726547	43.9121756487026	55.8882235528942	27.9441117764471	22.9540918163673	45.9081836327345	210.578842315369	18.9620758483034	22.9540918163673	45.9081836327345	14.9700598802395	20.9580838323353	8.98203592814371	37.9241516966068	681.636726546906
